root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
23:04:21.246921 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 19936:20092, ack 1, win 501, length 156
23:04:21.246959 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 20092:20128, ack 1, win 501, length 36
23:04:21.247005 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 20128:20284, ack 1, win 501, length 156
23:04:21.247057 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 20284:20440, ack 1, win 501, length 156
23:04:21.247129 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 20440:20828, ack 1, win 501, length 388
23:04:21.247214 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 20828:21456, ack 1, win 501, length 628
23:04:21.247291 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 21456:21948, ack 1, win 501, length 492
23:04:21.247392 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 21948:22224, ack 1, win 501, length 276
23:04:21.247451 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 22224:22492, ack 1, win 501, length 268
23:04:21.247523 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 22492:22880, ack 1, win 501, length 388
23:04:21.247600 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 22880:23388, ack 1, win 501, length 508
23:04:21.247685 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 23388:24016, ack 1, win 501, length 628
23:04:21.247759 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 24016:24524, ack 1, win 501, length 508
23:04:21.247836 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 24524:25032, ack 1, win 501, length 508
23:04:21.247912 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 25032:25540, ack 1, win 501, length 508
23:04:21.247988 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 25540:25816, ack 1, win 501, length 276
23:04:21.248049 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 25816:25972, ack 1, win 501, length 156
23:04:21.248123 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 25972:26128, ack 1, win 501, length 156
23:04:21.248182 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 26128:26284, ack 1, win 501, length 156
23:04:21.248240 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 26284:26440, ack 1, win 501, length 156
23:04:21.248299 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 26440:26596, ack 1, win 501, length 156
23:04:21.248354 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 26596:26752, ack 1, win 501, length 156
23:04:21.248410 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 26752:26908, ack 1, win 501, length 156
23:04:21.248464 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 26908:27064, ack 1, win 501, length 156
23:04:21.248523 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 27064:27220, ack 1, win 501, length 156
23:04:21.248578 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 27220:27376, ack 1, win 501, length 156
23:04:21.248670 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 27376:27532, ack 1, win 501, length 156
23:04:21.248734 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 27532:27688, ack 1, win 501, length 156
23:04:21.248806 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 27688:27844, ack 1, win 501, length 156
23:04:21.248865 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 27844:28000, ack 1, win 501, length 156
23:04:21.248921 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 28000:28156, ack 1, win 501, length 156
23:04:21.248979 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 28156:28312, ack 1, win 501, length 156
23:04:21.249034 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 28312:28468, ack 1, win 501, length 156
23:04:21.249090 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 28468:28624, ack 1, win 501, length 156
23:04:21.251536 IP 142.114.112.45.49727 > 142.93.146.161.22: Flags [.], ack 17788, win 2484, length 0
23:04:21.251570 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 28624:28780, ack 1, win 501, length 156
23:04:21.251583 IP 142.114.112.45.49727 > 142.93.146.161.22: Flags [.], ack 18400, win 2481, length 0
23:04:21.251703 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 28780:29144, ack 1, win 501, length 364
23:04:21.251767 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 29144:29300, ack 1, win 501, length 156
23:04:21.251828 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 29300:29456, ack 1, win 501, length 156
23:04:21.251886 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 29456:29612, ack 1, win 501, length 156
23:04:21.251953 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 29612:29768, ack 1, win 501, length 156
23:04:21.252009 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 29768:29924, ack 1, win 501, length 156
23:04:21.252067 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 29924:30080, ack 1, win 501, length 156
